SKU,Description,CriticalCode,CriticalCodeDescription,CommodityCode,CommodityCodeDescription,InventoryClassCode,InventoryClassCodeDescription,StockDiscount,DNPTimiAgoras,TimiLianikis,PosotitaPoliseon
L165866,old parts, , , , ,null,No value from JD,N,0,0,0
L166569,____________, , , , ,null,No value from JD,N,0,0,0
L170546,old parts, , , , ,null,No value from JD,N,0,0,0
L170547,old parts, , , , ,null,No value from JD,N,0,0,0
L171344,old parts, , , , ,null,No value from JD,N,0,0,0
L172687,replacement parts, , , , ,null,No value from JD,N,0,0,0
L172688,replacement parts, , , , ,null,No value from JD,N,0,0,0
L172689,replacement parts, , , , ,null,No value from JD,N,0,0,0
L172880,old parts, , , , ,null,No value from JD,N,0,0,0
L172882,old parts, , , , ,null,No value from JD,N,0,0,0
L32995      ,GUIDE                         , , , , ,null,No value from JD, ,0,0,0
L39858,replacement parts, , , , ,null,No value from JD,N,0,0,0
L59281,old parts, , , , ,null,No value from JD,N,0,0,0
N117382,"HANGER, HANGER INNER", , , , ,null,No value from JD,N,0,0,0
N193143,old parts, , , , ,null,No value from JD,N,0,0,0
N195968,LABEL - WATER TANK, , , , ,null,No value from JD,N,4.65,11.3,0
N198384,replacement parts, , , , ,null,No value from JD,N,0,0,0
N272806,old parts, , , , ,null,No value from JD,N,0,0,0
P20351,old parts, , , , ,null,No value from JD,N,0,0,0
P20352,old parts, , , , ,null,No value from JD,N,0,0,0
R115336,old parts, , , , ,null,No value from JD,N,0,0,0
R123352,old parts, , , , ,null,No value from JD,N,0,0,0
R125027,old parts, , , , ,null,No value from JD,N,0,0,0
R201555,replacement parts, , , , ,null,No value from JD,N,0,0,0
R48290      ,OIL TUBE                      , , , , ,null,No value from JD, ,0,0,0
R52054,old parts, , , , ,null,No value from JD, ,0,0,0
R52571      ,PLANET PINION                 , , , , ,null,No value from JD, ,0,0,0
R60388,replacement parts, , , , ,null,No value from JD,N,0,0,0
R79176      ,HOSE                          , , , , ,null,No value from JD, ,0,0,0
RE150320,replacement parts, , , , ,null,No value from JD,N,0,0,0
RE155975,replacement parts, , , , ,null,No value from JD,N,0,0,0
RE198930,replacement parts, , , , ,null,No value from JD,N,0,0,0
RE207590,old parts, , , , ,null,No value from JD,N,0,0,-1
RE23375,replacement parts, , , , ,null,No value from JD,N,0,0,0
RE25160,old parts, , , , ,null,No value from JD,N,0,0,0
RE30173,old parts, , , , ,null,No value from JD,N,0,0,0
RE31973,replacement parts, , , , ,null,No value from JD,N,0,0,0
RE36282,old parts, , , , ,null,No value from JD,N,0,0,0
RE504822,_______ ______, , , , ,null,No value from JD,N,0,58.85,0
RE506300,old parts, , , , ,null,No value from JD,N,0,0,0
RE52660,replacement parts, , , , ,null,No value from JD,N,0,0,0
RE57157,replacement parts, , , , ,null,No value from JD,N,0,0,0
RE61248,old parts, , , , ,null,No value from JD,N,0,0,0
RE61249,old parts, , , , ,null,No value from JD,N,0,0,0
SE500827,old parts, , , , ,null,No value from JD,N,0,0,0
T22069,replacement parts, , , , ,null,No value from JD,N,0,0,0
T23680,old parts, , , , ,null,No value from JD,N,0,0,0
T28293      ,THRUST WASHER                 , , , , ,null,No value from JD, ,0,0,0
TY26784,replacement parts, , , , ,null,No value from JD,N,0,0,0
Z11149,old parts, , , , ,null,No value from JD, ,0,0,0
Z11435,old parts, , , , ,null,No value from JD,N,0,0,0
Z11604,old parts, , , , ,null,No value from JD, ,0,0,0
Z11661,old parts, , , , ,null,No value from JD, ,0,0,0
Z11683,old parts, , , , ,null,No value from JD,N,0,0,0
57M11106          ,Fuse                       ,11,Periodic Service and Consumab.,45A,"Connectors, electrical, heavy-",D,7%(Class A+B+C+D=97% of parts),Y,15.05,36.5715,0
57M11387          ,Fuse                       ,11,Periodic Service and Consumab.,   , ,I,New parts,Y,0.54,1.3122,0
57M6394           ,Bulb                       ,11,Periodic Service and Consumab.,41A,"Lights, bulbs & lenses",E,3%(Class A+B+C+D+E=100%ofparts,Y,0.36,0.8748,0
57M6498           ,Bulb                       ,11,Periodic Service and Consumab.,41A,"Lights, bulbs & lenses",E,3%(Class A+B+C+D+E=100%ofparts,Y,0.45,1.0935,0
57M6844           ,Bulb                       ,11,Periodic Service and Consumab.,426,"Lights, tractor",E,3%(Class A+B+C+D+E=100%ofparts,Y,1.33,3.2319,4
57M7013           ,Bulb                       ,11,Periodic Service and Consumab.,41A,"Lights, bulbs & lenses",E,3%(Class A+B+C+D+E=100%ofparts,Y,0.45,1.0935,0
57M7019           ,Bulb                       ,11,Periodic Service and Consumab.,41A,"Lights, bulbs & lenses",C,20%(Class A+B+C=90% of parts),Y,1.79,4.3497,0
57M7105           ,Bulb                       ,11,Periodic Service and Consumab.,425,"Electrical parts, tractor",E,3%(Class A+B+C+D+E=100%ofparts,Y,0.37,0.8991,0
57M7120           ,Fuse                       ,11,Periodic Service and Consumab.,125,Electrical (TURF),E,3%(Class A+B+C+D+E=100%ofparts,Y,0.2,0.486,1
57M7121           ,________ 10_,11,Periodic Service and Consumab.,125,Electrical (TURF),D,7%(Class A+B+C+D=97% of parts),Y,0.16,0.3888,9
57M7125           ,Fuse                       ,11,Periodic Service and Consumab.,   , ,E,3%(Class A+B+C+D+E=100%ofparts,Y,0.75,1.8225,0
57M7146           ,________ 30_,11,Periodic Service and Consumab.,356,"Other, hay",B,20%(Class A +B=70 % of parts),Y,0.2,0.486,0
57M7166           ,Bulb                       ,11,Periodic Service and Consumab.,590,"Hardware, miscellaneous",B,20%(Class A +B=70 % of parts),Y,2.91,7.0713,7
57M7171           ,Fuse                       ,11,Periodic Service and Consumab.,590,"Hardware, miscellaneous",D,7%(Class A+B+C+D=97% of parts),Y,0.2,0.486,1
57M7329           ,Fuse                       ,11,Periodic Service and Consumab.,125,Electrical (TURF),C,20%(Class A+B+C=90% of parts),Y,1.78,4.3254,0
57M7356           ,Fuse                       ,11,Periodic Service and Consumab.,   , ,B,20%(Class A +B=70 % of parts),Y,4.46,10.8378,4
57M7392           ,Fuse                       ,11,Periodic Service and Consumab.,   , ,B,20%(Class A +B=70 % of parts),Y,4.25,10.3275,9
57M7492           ,Bulb                       ,11,Periodic Service and Consumab.,133,Other (TURF),E,3%(Class A+B+C+D+E=100%ofparts,N,0.45,1.0935,0
57M7623           ,________ 60_,11,Periodic Service and Consumab.,45A,"Connectors, electrical, heavy-",B,20%(Class A +B=70 % of parts),Y,2.16,5.2488,1
57M7688           ,Fuse                       ,11,Periodic Service and Consumab.,   , ,D,7%(Class A+B+C+D=97% of parts),Y,0.69,1.6767,0
57M7689           ,________ 60_,11,Periodic Service and Consumab.,425,"Electrical parts, tractor",B,20%(Class A +B=70 % of parts),Y,0.69,1.6767,0
57M7690           ,________ 15_,11,Periodic Service and Consumab.,425,"Electrical parts, tractor",B,20%(Class A +B=70 % of parts),Y,0.69,1.6767,0
57M7691           ,________ 15_,11,Periodic Service and Consumab.,425,"Electrical parts, tractor",B,20%(Class A +B=70 % of parts),Y,0.69,1.6767,0
57M7961           ,Fuse                       ,11,Periodic Service and Consumab.,   , ,I,New parts,Y,2.3,5.589,0
57M7993           ,Fuse                       ,11,Periodic Service and Consumab.,45A,"Connectors, electrical, heavy-",B,20%(Class A +B=70 % of parts),Y,1.83,4.4469,0
57M8048           ,Fuse                       ,11,Periodic Service and Consumab.,   , ,B,20%(Class A +B=70 % of parts),Y,2.26,5.4918,0
57M8163           ,Fuse                       ,11,Periodic Service and Consumab.,45A,"Connectors, electrical, heavy-",E,3%(Class A+B+C+D+E=100%ofparts,Y,0.35,0.8505,0
57M8180           ,Bulb                       ,11,Periodic Service and Consumab.,310,Planter parts,D,7%(Class A+B+C+D=97% of parts),Y,1.97,4.7871,0
57M8190           ,Fuse                       ,11,Periodic Service and Consumab.,45A,"Connectors, electrical, heavy-",B,20%(Class A +B=70 % of parts),Y,1.59,3.8637,0
57M8964           ,________ 250_,11,Periodic Service and Consumab.,   , ,B,20%(Class A +B=70 % of parts),Y,3.8,9.234,0
57M9328           ,Bulb                       ,11,Periodic Service and Consumab.,45A,"Connectors, electrical, heavy-",C,20%(Class A+B+C=90% of parts),Y,11,26.73,0
99M7064           ,Fuse                       ,11,Periodic Service and Consumab.,   , ,C,20%(Class A+B+C=90% of parts),Y,0.2,0.486,0
99M7065           ,Fuse                       ,11,Periodic Service and Consumab.,425,"Electrical parts, tractor",E,3%(Class A+B+C+D+E=100%ofparts,Y,0.2,0.486,1
99M7069           ,Fuse                       ,11,Periodic Service and Consumab.,   , ,E,3%(Class A+B+C+D+E=100%ofparts,Y,0.2,0.486,0
99M7104           ,________ 40_,11,Periodic Service and Consumab.,45A,"Connectors, electrical, heavy-",C,20%(Class A+B+C=90% of parts),Y,0.78,1.8954,0
A52577            ,Talc                       ,11,Periodic Service and Consumab.,313,"Seeding, Graphite and Talc",B,20%(Class A +B=70 % of parts),Y,12.42,30.1806,1
A81682            ,______ _____,11,Periodic Service and Consumab.,502,"Filter, hydraulic & transmissi",C,20%(Class A+B+C=90% of parts),Y,7.56,18.3708,0
AA27536           ,Bulb                       ,11,Periodic Service and Consumab.,310,Planter parts,C,20%(Class A+B+C=90% of parts),Y,1.49,3.6207,0
AD2062R           ,Bulb                       ,11,Periodic Service and Consumab.,426,"Lights, tractor",E,3%(Class A+B+C+D+E=100%ofparts,Y,1.3,3.159,0
AE30507           ,______ _____,11,Periodic Service and Consumab.,504,"Filter, air primary",C,20%(Class A+B+C=90% of parts),Y,36.95,89.7885,0
AE30508           ,______ _____,11,Periodic Service and Consumab.,504,"Filter, air primary",C,20%(Class A+B+C=90% of parts),Y,63.82,155.0826,0
AE31724           ,______ _____ __�______,11,Periodic Service and Consumab.,505,"Filter, air secondary",B,20%(Class A +B=70 % of parts),Y,17.28,41.9904,33
AE43286           ,Flat Belt                  ,11,Periodic Service and Consumab.,370,"Belts, round baler",B,20%(Class A +B=70 % of parts),Y,58.69,142.6167,0
AE43494           ,______ __________,11,Periodic Service and Consumab.,502,"Filter, hydraulic & transmissi",C,20%(Class A+B+C=90% of parts),Y,19.36,47.0448,111
AE48912           ,_______,11,Periodic Service and Consumab.,331,"Cutting, self-propelled forage",C,20%(Class A+B+C=90% of parts),Y,117.52,285.5736,0
AE52288           ,Flat Belt                  ,11,Periodic Service and Consumab.,370,"Belts, round baler",C,20%(Class A+B+C=90% of parts),Y,219.49,533.3607,0
AF3892R           ,Bulb                       ,11,Periodic Service and Consumab.,426,"Lights, tractor",C,20%(Class A+B+C=90% of parts),Y,6.05,14.7015,8
AH108380          ,Bulb                       ,11,Periodic Service and Consumab.,385,"Other, combine",E,3%(Class A+B+C+D+E=100%ofparts,N,0.4,0.972,0
AH115833          ,______ _____ __�______,11,Periodic Service and Consumab.,507,"Filter, cab",B,20%(Class A +B=70 % of parts),Y,40.11,97.4673,5
AH115836          ,______ ________,11,Periodic Service and Consumab.,507,"Filter, cab",B,20%(Class A +B=70 % of parts),Y,47.59,115.6437,4
AH128449          ,______ __________,11,Periodic Service and Consumab.,502,"Filter, hydraulic & transmissi",A,Reserved for weekly deliv(50%),Y,41.29,100.3347,90
AH139436          ,_______,11,Periodic Service and Consumab.,371,"Belts, harvest",B,20%(Class A +B=70 % of parts),Y,64.26,156.1518,0
AH148210          ,Headlight                  ,11,Periodic Service and Consumab.,385,"Other, combine",C,20%(Class A+B+C=90% of parts),Y,35.78,86.9454,0
AH148880          ,______ _____ __�______,11,Periodic Service and Consumab.,504,"Filter, air primary",A,Reserved for weekly deliv(50%),Y,88.48,215.0064,10
AH150678          ,_______,11,Periodic Service and Consumab.,371,"Belts, harvest",B,20%(Class A +B=70 % of parts),Y,89.96,218.6028,0
AH158880          ,_______,11,Periodic Service and Consumab.,371,"Belts, harvest",B,20%(Class A +B=70 % of parts),Y,122.09,296.6787,0
AH160080          ,Belt Set                   ,11,Periodic Service and Consumab.,371,"Belts, harvest",B,20%(Class A +B=70 % of parts),Y,62.42,151.6806,0
AH162231          ,Bulb                       ,11,Periodic Service and Consumab.,395,"Other, cotton picker",B,20%(Class A +B=70 % of parts),Y,2.91,7.0713,0
AH163931          ,_______,11,Periodic Service and Consumab.,371,"Belts, harvest",B,20%(Class A +B=70 % of parts),Y,61.52,149.4936,0
AH164062          ,______ _____ __�______,11,Periodic Service and Consumab.,504,"Filter, air primary",B,20%(Class A +B=70 % of parts),Y,89.1,216.513,0
AH164063          ,______ _____ __�_______,11,Periodic Service and Consumab.,505,"Filter, air secondary",B,20%(Class A +B=70 % of parts),Y,60.72,147.5496,0
AH165504          ,______ __________,11,Periodic Service and Consumab.,503,"Filter, fuel",C,20%(Class A+B+C=90% of parts),Y,13.38,32.5134,0
AH165877          ,Bulb                       ,11,Periodic Service and Consumab.,385,"Other, combine",C,20%(Class A+B+C=90% of parts),Y,18.08,43.9344,0
AH168783          ,______ _____,11,Periodic Service and Consumab.,507,"Filter, cab",C,20%(Class A+B+C=90% of parts),Y,53.46,129.9078,0
AH211917          ,Bulb                       ,11,Periodic Service and Consumab.,383,"Electrical parts, combine",A,Reserved for weekly deliv(50%),Y,8.57,20.8251,0
AH212294          ,______ _____ __�______,11,Periodic Service and Consumab.,501,"Filter, oil, engine",B,20%(Class A +B=70 % of parts),Y,99.8,242.514,0
AH212295          ,Filter Element             ,11,Periodic Service and Consumab.,504,"Filter, air primary",A,Reserved for weekly deliv(50%),Y,56.3,136.809,0
AH222225          ,Filter Element             ,11,Periodic Service and Consumab.,504,"Filter, air primary",A,Reserved for weekly deliv(50%),Y,92.67,225.1881,0
AH232955          ,Belt Set                   ,11,Periodic Service and Consumab.,371,"Belts, harvest",D,7%(Class A+B+C+D=97% of parts),Y,79.55,193.3065,0
AH233198          ,_______,11,Periodic Service and Consumab.,   , ,B,20%(Class A +B=70 % of parts),Y,104.72,254.4696,0
AH236689          ,_______,11,Periodic Service and Consumab.,371,"Belts, harvest",B,20%(Class A +B=70 % of parts),Y,142.11,345.3273,0
AH80490           ,______________ John Deere (______ 18 kg ___ _____�),11,Periodic Service and Consumab.,04D,Grease,D,7%(Class A+B+C+D=97% of parts),Y,78.11,189.8073,2
AH80920           ,______,11,Periodic Service and Consumab.,507,"Filter, cab",D,7%(Class A+B+C+D=97% of parts),Y,31.24,75.9132,0
AH92463           ,______,11,Periodic Service and Consumab.,507,"Filter, cab",A,Reserved for weekly deliv(50%),Y,31.92,77.5656,13
AH96333           ,_______,11,Periodic Service and Consumab.,371,"Belts, harvest",D,7%(Class A+B+C+D=97% of parts),Y,29.69,72.1467,2
AL112936          ,______ ______,11,Periodic Service and Consumab.,502,"Filter, hydraulic & transmissi",B,20%(Class A +B=70 % of parts),Y,44.12,107.2116,0
AL118036          ,______ __________,11,Periodic Service and Consumab.,502,"Filter, hydraulic & transmissi",A,Reserved for weekly deliv(50%),Y,34.4,83.592,319
AL118321          ,______ ______,11,Periodic Service and Consumab.,502,"Filter, hydraulic & transmissi",B,20%(Class A +B=70 % of parts),Y,47.46,115.3278,61
AL150288          ,______ _____ __�______,11,Periodic Service and Consumab.,505,"Filter, air secondary",A,Reserved for weekly deliv(50%),Y,25.74,62.5482,70
AL152328          ,Headlight                  ,11,Periodic Service and Consumab.,426,"Lights, tractor",A,Reserved for weekly deliv(50%),Y,54.84,133.2612,1
AL152329          ,______,11,Periodic Service and Consumab.,426,"Lights, tractor",A,Reserved for weekly deliv(50%),Y,55.89,135.8127,0
AL153517          ,______ __________,11,Periodic Service and Consumab.,503,"Filter, fuel",A,Reserved for weekly deliv(50%),Y,20.55,49.9365,79
AL156624          ,______ ______ 6920-6920S,11,Periodic Service and Consumab.,502,"Filter, hydraulic & transmissi",B,20%(Class A +B=70 % of parts),Y,24.11,58.5873,1
AL156625          ,______ ______,11,Periodic Service and Consumab.,502,"Filter, hydraulic & transmissi",A,Reserved for weekly deliv(50%),Y,25.8,62.694,519
AL158986          ,___ ______ _______,11,Periodic Service and Consumab.,507,"Filter, cab",A,Reserved for weekly deliv(50%),Y,347.09,843.4287,2
AL160771          ,______ __________,11,Periodic Service and Consumab.,502,"Filter, hydraulic & transmissi",B,20%(Class A +B=70 % of parts),Y,49.48,120.2364,0
AL169573          ,______ ______,11,Periodic Service and Consumab.,505,"Filter, air secondary",A,Reserved for weekly deliv(50%),Y,43.45,105.5835,154
AL172780          ,______ _____,11,Periodic Service and Consumab.,504,"Filter, air primary",A,Reserved for weekly deliv(50%),Y,48.12,116.9316,50
AL172781          ,______ _____ __�______,11,Periodic Service and Consumab.,504,"Filter, air primary",A,Reserved for weekly deliv(50%),Y,53.47,129.9321,53
AL174812          ,______ _____ __�______,11,Periodic Service and Consumab.,505,"Filter, air secondary",A,Reserved for weekly deliv(50%),Y,36.14,87.8202,5
AL177184          ,______ _____,11,Periodic Service and Consumab.,507,"Filter, cab",A,Reserved for weekly deliv(50%),Y,24.05,58.4415,94
AL177185          ,______ _____,11,Periodic Service and Consumab.,503,"Filter, fuel",A,Reserved for weekly deliv(50%),Y,31.75,77.1525,176
AL179915          ,Headlight                  ,11,Periodic Service and Consumab.,   , ,D,7%(Class A+B+C+D=97% of parts),Y,22.69,55.1367,0
AL181532          ,Headlight                  ,11,Periodic Service and Consumab.,   , ,A,Reserved for weekly deliv(50%),Y,331.13,804.6459,0
AL181949          ,______ _____,11,Periodic Service and Consumab.,504,"Filter, air primary",B,20%(Class A +B=70 % of parts),Y,21.27,51.6861,0
AL201607          ,______,11,Periodic Service and Consumab.,   , ,C,20%(Class A+B+C=90% of parts),Y,37.84,91.9512,0
AL201608          ,______,11,Periodic Service and Consumab.,   , ,C,20%(Class A+B+C=90% of parts),Y,37.84,91.9512,0
AL203003          ,______ _____,11,Periodic Service and Consumab.,504,"Filter, air primary",A,Reserved for weekly deliv(50%),Y,23.38,56.8134,0
AL203060          ,______ __________,11,Periodic Service and Consumab.,501,"Filter, oil, engine",A,Reserved for weekly deliv(50%),Y,43.26,105.1218,16
AL203061          ,______ ______,11,Periodic Service and Consumab.,501,"Filter, oil, engine",A,Reserved for weekly deliv(50%),Y,50.96,123.8328,49
AL203338          ,______ ______,11,Periodic Service and Consumab.,   , ,D,7%(Class A+B+C+D=97% of parts),Y,160.29,389.5047,0
AL203341          ,______ __________,11,Periodic Service and Consumab.,504,"Filter, air primary",A,Reserved for weekly deliv(50%),Y,43.68,106.1424,7
AL203836          ,Wet Charged Battery        ,11,Periodic Service and Consumab.,05G,"Batteries, wet StrongBox Comme",B,20%(Class A +B=70 % of parts),N,67,162.81,0
AL203837          ,Wet Charged Battery        ,11,Periodic Service and Consumab.,05G,"Batteries, wet StrongBox Comme",B,20%(Class A +B=70 % of parts),N,71.5,173.745,4
AL203838          ,Wet Charged Battery        ,11,Periodic Service and Consumab.,05G,"Batteries, wet StrongBox Comme",B,20%(Class A +B=70 % of parts),N,93.5,227.205,5
AL203839          ,Wet Charged Battery        ,11,Periodic Service and Consumab.,05G,"Batteries, wet StrongBox Comme",E,3%(Class A+B+C+D+E=100%ofparts,N,152.51,370.5993,6
AL203840          ,________,11,Periodic Service and Consumab.,05G,"Batteries, wet StrongBox Comme",B,20%(Class A +B=70 % of parts),N,177.58,431.5194,34
AL204809          ,______ _____ __�______,11,Periodic Service and Consumab.,504,"Filter, air primary",A,Reserved for weekly deliv(50%),Y,37.36,90.7848,4
AL204951          ,Headlight                  ,11,Periodic Service and Consumab.,426,"Lights, tractor",B,20%(Class A +B=70 % of parts),Y,50.94,123.7842,0
AL205731          ,Wet Charged Battery        ,11,Periodic Service and Consumab.,05G,"Batteries, wet StrongBox Comme",B,20%(Class A +B=70 % of parts),N,117.61,285.7923,7
AL205881          ,Headlight                  ,11,Periodic Service and Consumab.,TP1,"Attachment, Mannheim",B,20%(Class A +B=70 % of parts),Y,96.3,234.009,1
AL206153          ,Headlight                  ,11,Periodic Service and Consumab.,   , ,B,20%(Class A +B=70 % of parts),Y,95.58,232.2594,0
AL206154          ,______,11,Periodic Service and Consumab.,   , ,B,20%(Class A +B=70 % of parts),Y,95.58,232.2594,0
AL206482          ,______ ______,11,Periodic Service and Consumab.,502,"Filter, hydraulic & transmissi",B,20%(Class A +B=70 % of parts),Y,47.46,115.3278,45
AL207628          ,______ ____,11,Periodic Service and Consumab.,504,"Filter, air primary",I,New parts,Y,51.75,125.7525,0
AL207629          ,______ _____,11,Periodic Service and Consumab.,504,"Filter, air primary",A,Reserved for weekly deliv(50%),Y,59.71,145.0953,0
AL210285          ,Wet Charged Battery        ,11,Periodic Service and Consumab.,05G,"Batteries, wet StrongBox Comme",B,20%(Class A +B=70 % of parts),N,152.48,370.5264,6
AL212841          ,Air Filter                 ,11,Periodic Service and Consumab.,504,"Filter, air primary",B,20%(Class A +B=70 % of parts),Y,21.27,51.6861,0
AL25554           ,______ __________,11,Periodic Service and Consumab.,502,"Filter, hydraulic & transmissi",B,20%(Class A +B=70 % of parts),Y,12.03,29.2329,35
AL27160           ,______ _____ __�______,11,Periodic Service and Consumab.,504,"Filter, air primary",C,20%(Class A+B+C=90% of parts),Y,19.28,46.8504,7
AL30394           ,______ _____ __�______,11,Periodic Service and Consumab.,504,"Filter, air primary",A,Reserved for weekly deliv(50%),Y,23.45,56.9835,28
AL30395           ,______ _____ __�______,11,Periodic Service and Consumab.,505,"Filter, air secondary",C,20%(Class A+B+C=90% of parts),Y,25.27,61.4061,8
AL31413           ,______ __________ ________,11,Periodic Service and Consumab.,502,"Filter, hydraulic & transmissi",B,20%(Class A +B=70 % of parts),Y,27.51,66.8493,33
AL33162           ,______,11,Periodic Service and Consumab.,426,"Lights, tractor",D,7%(Class A+B+C+D=97% of parts),Y,0.77,1.8711,10
AL56091           ,______ _________,11,Periodic Service and Consumab.,426,"Lights, tractor",A,Reserved for weekly deliv(50%),Y,18.4,44.712,37
AL56092           ,______,11,Periodic Service and Consumab.,426,"Lights, tractor",C,20%(Class A+B+C=90% of parts),Y,18.22,44.2746,2
